# index, name, _pos
118,CTT1,"array([ 11.94794697, -32.7234646 ])"
119,CUP1A,"array([  4.92766254, -37.17881712])"
120,CUP1B,"array([  2.04880896, -40.25244629])"
121,CUP2,"array([ 21.2889943 , -13.60491289])"
122,CUP9,"array([ 21.95949461, -18.03025957])"
123,CYB2,"array([ 18.62003867, -14.52588668])"
124,CYC1,"array([ 2.16025899, -5.62664116])"
125,CYC7,"array([ 3.14072552, -5.33559682])"
126,CYS3,"array([ 14.03365023, -12.41462397])"
127,CYT1,"array([ 14.46461864, -14.19524237])"
128,DAK1,"array([ 17.31576085, -11.61325054])"
129,DAL1,"array([  3.07415473, -60.97892604])"
130,DAL2,"array([  6.08835905, -35.67894466])"
131,DAL3,"array([  7.99618123, -36.02761255])"
132,DAL4,"array([  4.72268111, -30.41485877])"
133,DAL5,"array([ 10.4892859 , -29.21718888])"
134,DAL7,"array([ 24.16871219, -33.05575977])"
135,DAL80,"array([ 20.78414395, -31.54800559])"
136,DAL80_GZF3,"array([  4.67593137, -23.97175207])"
137,DAL81,"array([ -2.07163444, -10.63599213])"
138,DBF4,"array([ -9.37756925, -28.75378306])"
139,DCG1,"array([ 11.84434084, -34.78477476])"
140,DCI1,"array([57.07062216, -9.25242334])"
141,DDR2,"array([  5.68054728, -15.78154697])"
142,DDR48,"array([ 5.79987465, -2.17960448])"
143,DED1,"array([-10.28193404, -26.2115665 ])"
144,DHH1,"array([ -9.02645711, -27.19095415])"
145,DIT1,"array([ 15.61362096, -16.56988916])"
146,DIT2,"array([  0.18770266, -24.09531194])"
147,DLD3,"array([ -0.1311494 , -15.79722058])"
148,DMC1,"array([  0.70760186, -16.14838877])"
149,DNA43,"array([ -1.19459817, -18.0741371 ])"
150,DNM1,"array([-23.16147093, -30.37575074])"
151,DOG2,"array([  4.88952106, -31.79986352])"
152,DPB2,"array([  8.89273109, -28.39266374])"
153,DPB3,"array([  9.39383059, -25.35008882])"
154,DPP1,"array([  5.97674426, -17.30235799])"
155,DUR1,"array([  9.49557259, -31.31978104])"
156,DUR3,"array([ 46.82291385, -44.88350352])"
157,ECI1,"array([ -1.79524604, -20.85376205])"
158,EGT2,"array([ 24.51777858, -26.72538977])"
159,ENA1,"array([ 26.82291672, -23.26259734])"
160,ENO1,"array([ 28.43296053, -26.92540624])"
161,ENO2,"array([ 27.68132763, -23.22661903])"
162,ENT1,"array([ 25.19451098, -27.94842894])"
163,EPT1,"array([ 26.6791616 , -24.08047919])"
164,ERG10,"array([ 27.65120539, -25.59899303])"
165,ERG11,"array([ 29.34955783, -27.30467265])"
166,ERG24,"array([ 33.54773582, -26.3012535 ])"
167,FAA2,"array([31.29285579, 21.48694946])"
168,FAR1,"array([ 52.70646283, -31.14372665])"
169,FAS1,"array([ 4.67674358, -2.30414852])"
170,FAS2,"array([ 29.7901094 , -26.39466636])"
171,FBA1,"array([ -1.42779134, -13.07228773])"
172,FET3,"array([  0.49797857, -20.85892441])"
173,FET4,"array([  8.31374591, -12.87500466])"
174,FIG1,"array([  5.02950347, -26.95713801])"
175,FIG2,"array([ 13.59844678, -10.34790089])"
176,FIT1,"array([ 12.0363605 , -24.53573379])"
177,FIT2,"array([ 12.8024882 , -25.90268297])"
178,FIT3,"array([  2.61360384, -42.58211858])"
179,FKH2,"array([  9.04135641, -15.92472675])"
180,FKS1,"array([ 3.7590555 , -2.85047382])"
181,FLO1,"array([ -3.49220928, -18.28422779])"
182,FLO10,"array([  5.57342405, -23.69586423])"
183,FLO5,"array([ 2.37916318, -6.72702903])"
184,FLO8,"array([ 6.51936869, -5.38118334])"
185,FLR1,"array([-8.84660829, -4.55310032])"
186,FOX2,"array([ 49.06901204, -18.26120914])"
187,FRE1,"array([ 26.49499564, -24.96291267])"
188,FRE2,"array([ 27.53921121, -24.26279797])"
189,FRE7,"array([ -3.59561056, -12.28489873])"
190,FTH1,"array([ 47.8049133 , -34.71323741])"
191,FTR1,"array([ 15.70758728, -14.08803019])"
192,FUR4,"array([47.69812928,  2.46041572])"
193,FUS1,"array([ -2.36622186, -55.55760876])"
194,FUS3,"array([-23.61106586, -20.01003381])"
195,FZF1,"array([ 11.95507777, -29.16405627])"
196,GAL1,"array([ 12.85021119, -22.35383491])"
197,GAL10,"array([ 11.00834142, -23.94909904])"
198,GAL11,"array([  7.86987346, -11.38929103])"
199,GAL2,"array([ 20.65606274, -14.37590075])"
200,GAL3,"array([ 27.23677439, -15.01483686])"
201,GAL4,"array([  5.49156258, -29.30314083])"
202,GAL7,"array([13.90011091, -6.00156183])"
203,GAL80,"array([ -2.98524217, -10.00342465])"
204,GAP1,"array([16.391037  , -8.59054397])"
205,GAS1,"array([ 18.9838181 , -18.51105852])"
