# index, name, _pos
135,136,"array([-27.9803489 ,   7.80272393])"
136,137,"array([-40.11491649,  15.77188936])"
137,138,"array([-39.74174594,  15.20332958])"
138,139,"array([-29.11132398,  -7.82830532])"
139,140,"array([-29.59670409,  -8.53030569])"
140,141,"array([-29.95993542,  -7.67463074])"
141,142,"array([-28.62417784,  -8.51291324])"
142,143,"array([-29.27295119,  -7.02108223])"
143,144,"array([-33.3234111 ,   8.75577024])"
144,145,"array([-34.45225101,   9.35454911])"
145,146,"array([-32.6722064 ,   8.85919395])"
146,147,"array([-28.96942791,   8.19487617])"
147,148,"array([-31.00255383,   9.40100602])"
148,149,"array([-36.01909512,   6.41056285])"
149,150,"array([-36.67970898,   6.26065866])"
150,151,"array([-25.53945861,  -8.75102623])"
151,152,"array([-26.41156324,   4.07638738])"
152,153,"array([-25.61569594,   3.89941806])"
153,154,"array([-26.56543289,   4.44923255])"
154,155,"array([-25.31938178,   3.1908072 ])"
155,156,"array([-21.47325953,  17.52203117])"
156,157,"array([-21.93770147,  18.13731598])"
157,158,"array([-20.71867554,  17.66997777])"
158,159,"array([-21.74137883,  16.75947796])"
159,160,"array([-28.87314861,   7.12585692])"
160,161,"array([-29.18943217,   6.10372936])"
161,162,"array([-28.95866139,   5.33993629])"
162,163,"array([-28.41897802,   6.71839517])"
163,164,"array([-37.47556552,   1.84331236])"
164,165,"array([-36.35345137,   2.31359254])"
165,166,"array([-29.32808039,  -0.12454706])"
166,167,"array([-29.38079348,   0.65652538])"
167,168,"array([-29.27051709,   1.34407606])"
168,169,"array([-29.35290486,   2.14824874])"
169,170,"array([-30.57001459,   8.4289364 ])"
170,171,"array([-29.52279455,   8.65816258])"
171,172,"array([-30.01895175,   8.87310358])"
172,173,"array([-29.12670452,   9.71344013])"
173,174,"array([-29.04803963,   8.94882483])"
174,175,"array([-30.0638074 ,   9.37664191])"
175,176,"array([-29.54446188,   9.23171639])"
176,177,"array([-29.08270538,  10.5702871 ])"
177,178,"array([-30.01586678,  10.35886327])"
178,179,"array([-28.58657917,  11.1501373 ])"
179,180,"array([-28.07697514,  10.87329775])"
180,181,"array([-28.44628227,  10.41180677])"
181,182,"array([-29.78000914,   3.81742685])"
182,183,"array([-28.70422949,   2.51828215])"
183,184,"array([-28.86102147,   3.60600825])"
184,185,"array([-29.17964686,   2.90334826])"
185,186,"array([-29.91692172,   3.32980453])"
186,187,"array([-28.36690995,   3.0997201 ])"
187,188,"array([-28.34674372,   3.53855473])"
188,189,"array([-30.56985037,   2.65862866])"
189,190,"array([-28.4120847 ,   4.01983307])"
190,191,"array([-29.11083144,   4.76238712])"
191,192,"array([-28.30877574,   6.04773544])"
192,193,"array([-27.71694922,   4.1843931 ])"
193,194,"array([-27.77915358,   4.91618796])"
194,195,"array([-28.20063709,   4.61870104])"
195,196,"array([-34.76530599,   1.92064121])"
196,197,"array([-36.09897409,   3.14823788])"
197,198,"array([-35.48167997,   1.88536783])"
198,199,"array([-35.74968459,   2.47301863])"
199,200,"array([-35.52708865,   3.06604951])"
200,201,"array([-35.13478672,   2.45690375])"
201,202,"array([-33.82966596,   2.77645409])"
202,203,"array([-24.44731376,  -6.96801489])"
203,204,"array([-23.93601881,  -7.42919646])"
204,205,"array([-20.52092474,   6.7506504 ])"
205,206,"array([-21.04591239,   6.1269312 ])"
206,207,"array([-20.36765449,   5.52301261])"
207,208,"array([-27.95448287,   0.82355998])"
208,209,"array([-29.94448149,   1.7384341 ])"
209,210,"array([-31.36379514,   0.46244884])"
210,211,"array([-32.28521394,   3.71707754])"
211,212,"array([-36.26515799,   9.14036407])"
212,213,"array([-35.14648679,   8.44857255])"
213,214,"array([-18.55473077,  15.78346292])"
214,215,"array([-18.06015362,  15.30056652])"
215,216,"array([-28.81012945,   3.13924967])"
216,217,"array([-27.74538543,   6.0518645 ])"
217,218,"array([-27.83847983,   2.34230248])"
218,219,"array([-27.33623874,   2.28231359])"
219,220,"array([-28.22665221,   5.23471253])"
220,221,"array([-27.97978102,   1.78637606])"
221,222,"array([-28.72456819,   1.05744463])"
222,223,"array([-38.00771059,  16.1643705 ])"
223,224,"array([-27.55452417,   9.2601905 ])"
224,225,"array([-26.45913009,   6.95923549])"
225,226,"array([-28.15255999,   8.68547323])"
226,227,"array([-25.94411681,   6.65075336])"
227,228,"array([-30.58344511,  -1.31467836])"
228,229,"array([-30.93143648,  -2.48778102])"
229,230,"array([-24.4487282 ,  16.81257018])"
230,231,"array([-41.3955077 ,  13.61335386])"
231,232,"array([-40.77243376,  13.32712363])"
232,233,"array([-21.63648204,  -3.76626569])"
233,234,"array([-21.31812913,  -3.16713457])"
234,235,"array([-35.9430705 ,   7.89281116])"
235,236,"array([-44.10570691,   3.99434549])"
236,237,"array([-44.23138363,   4.67260393])"
237,238,"array([-28.89966909,  19.80153414])"
238,239,"array([-28.26032505,  19.84024596])"
239,240,"array([-29.18058343,  20.79189138])"
240,241,"array([-27.88230271,  20.37993259])"
241,242,"array([-29.5245432 ,  19.61297148])"
242,243,"array([-29.64505687,  18.95503552])"
243,244,"array([-30.11727743,  19.81126855])"
244,245,"array([-27.75693759,  19.43688707])"
245,246,"array([-28.93883101,  18.80303164])"
246,247,"array([-29.74731132,  20.45108672])"
247,248,"array([-28.28260041,  18.92898148])"
248,249,"array([-28.51302268,  20.73743999])"
249,250,"array([-24.1756258 ,   5.41442927])"
250,251,"array([-23.48392213,   5.88641735])"
251,252,"array([-22.86762094,   4.63278788])"
252,253,"array([-23.59499816,   4.76969198])"
253,254,"array([-22.79362215,   5.91650532])"
254,255,"array([-23.32744424,   4.16961068])"
255,256,"array([-23.25260112,   6.45491964])"
256,257,"array([-24.00837336,   4.26480684])"
257,258,"array([-23.20188686,   5.27626984])"
258,259,"array([-22.62114168,   5.2524593 ])"
259,260,"array([-33.38528052,   1.6480614 ])"
260,261,"array([-32.58094226,   2.42720193])"
261,262,"array([-36.26000052,   4.58164978])"
262,263,"array([-36.01056261,   5.13054887])"
263,264,"array([-32.93508533,  -0.59339252])"
264,265,"array([-32.92118188,   0.62581617])"
265,266,"array([-33.5103232 ,  -0.21148169])"
266,267,"array([-33.5098996 ,   0.26754524])"
267,268,"array([-13.9981461 ,   7.85526891])"
268,269,"array([-13.56688296,   8.39362083])"
269,270,"array([-12.96744343,   9.09194323])"
270,271,"array([-12.67064718,   8.15184218])"
271,272,"array([-14.79948258,   8.10020437])"
272,273,"array([-16.28977811,   7.57484755])"
273,274,"array([-14.61413682,   8.95625883])"
274,275,"array([-36.20965472,  -6.12250733])"
275,276,"array([-36.36900622,  -6.80560667])"
276,277,"array([-33.67391229,   4.11366273])"
277,278,"array([-34.93819658,   3.68024387])"
278,279,"array([-21.93122315,  -7.15915733])"
279,280,"array([-43.67460495,   7.46783805])"
280,281,"array([-42.97850259,   7.41256596])"
281,282,"array([-38.12740506,  17.92713407])"
282,283,"array([-31.88823055,  -0.55043502])"
283,284,"array([-31.4265948 ,  -0.93994508])"
284,285,"array([-20.27819405,  14.08835996])"
285,286,"array([-19.80157874,  13.54836062])"
286,287,"array([-19.3308396 ,  13.00894624])"
287,288,"array([-35.66099185,   4.2238608 ])"
288,289,"array([-28.90413493,   4.12218886])"
289,290,"array([-27.54148581,   3.48913502])"
290,291,"array([-27.11484506,   3.04456274])"
291,292,"array([-26.77846942,  10.4766751 ])"
292,293,"array([-28.4328468 ,   8.07727051])"
293,294,"array([-26.95254648,   9.74700827])"
294,295,"array([-27.14783389,   8.53188461])"
295,296,"array([-28.31238909,   9.34467452])"
296,297,"array([-27.63937848,   8.7923173 ])"
297,298,"array([-25.18610119,   9.09814709])"
298,299,"array([-26.20165295,   7.94982811])"
299,300,"array([-24.69657481,   8.61229867])"
300,301,"array([-25.06435551,   6.33319938])"
301,302,"array([-43.00483085,  10.19252351])"
302,303,"array([-42.27745458,  10.5394259 ])"
303,304,"array([-41.5519448 ,  10.89335592])"
304,305,"array([-42.60926708,  11.27229474])"
305,306,"array([-41.94524191,   9.79735701])"
306,307,"array([-27.9671977 ,  -0.08164059])"
307,308,"array([-17.57223069,   7.43964102])"
308,309,"array([-18.15611278,   6.90970491])"
309,310,"array([-17.40490689,   6.6720444 ])"
310,311,"array([-19.01607968,   7.34090045])"
311,312,"array([-17.943624 ,   8.2369945])"
312,313,"array([-17.89689031,   5.59855947])"
313,314,"array([-18.24633083,   7.62437903])"
314,315,"array([-18.61759537,   5.92898221])"
315,316,"array([-18.93606946,   6.59545739])"
316,317,"array([-18.72217442,   8.05552422])"
317,318,"array([-16.81027356,   6.49393945])"
318,319,"array([-17.28456877,   7.98318145])"
319,320,"array([-17.23304287,   5.93599009])"
320,321,"array([-16.96713884,   7.20518445])"
321,322,"array([-17.94641102,   6.22529863])"
322,323,"array([-40.30429306,  -3.22716454])"
323,324,"array([-40.32032687,  -2.5425745 ])"
324,325,"array([-25.76460046,  11.00555602])"
325,326,"array([-24.93453597,  11.80151908])"
326,327,"array([-35.23850865,   7.3917134 ])"
327,328,"array([-34.77389943,   0.63654572])"
328,329,"array([-33.85025342,   0.80337151])"
329,330,"array([-34.20626223,  -0.63584704])"
330,331,"array([-35.18990562,  -0.06537045])"
331,332,"array([-34.8320294 ,  -0.56831457])"
332,333,"array([-35.35477659,   0.53800944])"
333,334,"array([-3.45037004e+01, -1.75676760e-03])"
334,335,"array([-24.59468146,  18.83061235])"
335,336,"array([-24.03656941,  19.23562035])"
336,337,"array([-31.62833657,  13.73487401])"
337,338,"array([-32.33063993,  13.69348923])"
338,339,"array([-33.35343928,  14.33255045])"
339,340,"array([-33.36276743,  15.065241  ])"
340,341,"array([-32.13520888,  14.31367525])"
341,342,"array([-32.17702605,  15.42787746])"
342,343,"array([-33.89102653,  13.99813644])"
343,344,"array([-33.79089313,  14.63606518])"
344,345,"array([-33.17327019,  13.06094085])"
345,346,"array([-31.60312951,  14.50856334])"
346,347,"array([-32.79363786,  15.36669194])"
347,348,"array([-32.78228042,  14.21284881])"
348,349,"array([-31.08705707,  14.77815885])"
349,350,"array([-31.60813168,  15.16988424])"
350,351,"array([-31.06783413,  14.12198971])"
351,352,"array([-32.4530006 ,  13.02301197])"
352,353,"array([-33.18761223,  13.69386052])"
353,354,"array([-32.22544205,  14.89087724])"
354,355,"array([-33.75517539,  13.38918227])"
355,356,"array([-32.83905872,  14.80160262])"
356,357,"array([-33.78413181,  10.76979134])"
357,358,"array([-33.13365485,  10.86239751])"
358,359,"array([-32.37792016,  11.16169176])"
359,360,"array([-33.53296188,  11.46621712])"
360,361,"array([-33.73947426,  10.09300429])"
361,362,"array([-32.93653399,  11.48094182])"
362,363,"array([-32.22119958,  10.53475803])"
363,364,"array([-34.45373047,  10.8318454 ])"
364,365,"array([-34.36327363,  10.24233189])"
365,366,"array([-34.10299204,  11.31344369])"
366,367,"array([-30.17467419,   0.501442  ])"
367,368,"array([-29.77325027,  -0.67815794])"
368,369,"array([-30.40098831,  -0.61098769])"
369,370,"array([-29.10200499,  -0.96987935])"
370,371,"array([-28.41771558,  -1.94533607])"
371,372,"array([-33.40254978,  -1.32350864])"
372,373,"array([-3.27268043e+01,  1.96447292e-02])"
373,374,"array([-32.69929466,  -1.41063696])"
374,375,"array([-32.10260693,   2.82890549])"
375,376,"array([-26.03142399,   2.22254111])"
376,377,"array([-20.4291838 ,  -5.79752174])"
377,378,"array([-20.16926969,  -5.16555586])"
378,379,"array([-19.82124627,  -1.01952542])"
379,380,"array([-18.99171852,  -1.12624735])"
380,381,"array([-18.53999708,  -0.41118987])"
381,382,"array([-18.14698321,  -0.99624503])"
382,383,"array([-19.21263934,  -1.92546218])"
383,384,"array([-16.81323375,   0.30129613])"
384,385,"array([-17.58921838,  -0.2099073 ])"
385,386,"array([-16.68894822,  -0.46687318])"
386,387,"array([-17.22377798,  -1.04750712])"
387,388,"array([-17.49103467,   0.71756342])"
388,389,"array([-18.22331202,   0.45028827])"
389,390,"array([-36.60153344,   5.4641723 ])"
390,391,"array([-21.93734816,  16.01115382])"
391,392,"array([-22.12639407,  15.31129081])"
392,393,"array([-35.40830715,  19.13381866])"
393,394,"array([-35.98492658,  18.7503005 ])"
394,395,"array([-43.00967572,   1.53941662])"
395,396,"array([-42.3490545,   1.6927969])"
396,397,"array([-26.88826825,   6.90676312])"
397,398,"array([-25.69211566,   8.3089711 ])"
398,399,"array([-25.57019476,   6.25900423])"
