0.01 0.707107
0.010975 0.707038
0.012045 0.706963
0.0132194 0.70688
0.0145083 0.706789
0.0159228 0.706689
0.0174753 0.70658
0.0191791 0.706459
0.021049 0.706328
0.0231013 0.706183
0.0253536 0.706024
0.0278256 0.70585
0.0305386 0.705659
0.033516 0.70545
0.0367838 0.70522
0.0403702 0.704967
0.0443062 0.70469
0.048626 0.704387
0.053367 0.704054
0.0585702 0.703688
0.0642807 0.703287
0.070548 0.702848
0.0774264 0.702365
0.0849753 0.701837
0.0932603 0.701257
0.102353 0.700621
0.112332 0.699924
0.123285 0.699159
0.135305 0.698321
0.148497 0.697402
0.162975 0.696396
0.178865 0.695293
0.196304 0.694084
0.215443 0.69276
0.236449 0.691309
0.259502 0.689721
0.284804 0.687982
0.312572 0.686079
0.343047 0.683996
0.376494 0.681717
0.413201 0.679225
0.453488 0.6765
0.497702 0.673523
0.546228 0.67027
0.599484 0.666718
0.657933 0.662841
0.722081 0.658613
0.792483 0.654003
0.869749 0.648982
0.954548 0.643515
1.04762 0.637568
1.14976 0.631105
1.26186 0.624087
1.38489 0.616475
1.51991 0.608228
1.6681 0.599304
1.83074 0.58966
2.00923 0.579256
2.20513 0.568049
2.42013 0.555999
2.65609 0.543069
2.91505 0.529224
3.19927 0.514437
3.51119 0.498684
3.85353 0.481951
4.22924 0.464233
4.64159 0.445538
5.09414 0.425887
5.59081 0.405318
6.13591 0.383888
6.73415 0.361671
7.39072 0.338768
8.11131 0.315299
8.90215 0.291412
9.7701 0.267275
10.7227 0.243082
11.7681 0.219044
12.9155 0.195389
14.1747 0.172358
15.5568 0.150191
17.0735 0.129126
18.7382 0.109386
20.5651 0.0911679
22.5702 0.0746329
24.7708 0.0598986
27.1859 0.0470302
29.8365 0.036036
32.7455 0.0268667
35.9381 0.0194186
39.4421 0.0135408
43.2876 0.00904682
47.5081 0.00572789
52.1401 0.00336864
57.2237 0.00176226
62.8029 0.000730025
68.9261 0.000243873
75.6463 0.000391717
83.0218 0.000582923
91.1163 0.000689073
100 0.000741239
