0.01 0.707107
0.010975 0.706689
0.012045 0.70623
0.0132194 0.705727
0.0145083 0.705176
0.0159228 0.704571
0.0174753 0.703908
0.0191791 0.703181
0.021049 0.702385
0.0231013 0.701511
0.0253536 0.700554
0.0278256 0.699505
0.0305386 0.698356
0.033516 0.697097
0.0367838 0.695719
0.0403702 0.694209
0.0443062 0.692556
0.048626 0.690747
0.053367 0.688768
0.0585702 0.686602
0.0642807 0.684234
0.070548 0.681645
0.0774264 0.678816
0.0849753 0.675726
0.0932603 0.672352
0.102353 0.66867
0.112332 0.664655
0.123285 0.660278
0.135305 0.655511
0.148497 0.650322
0.162975 0.644678
0.178865 0.638546
0.196304 0.631889
0.215443 0.624671
0.236449 0.616852
0.259502 0.608395
0.284804 0.599259
0.312572 0.589406
0.343047 0.578798
0.376494 0.567397
0.413201 0.555169
0.453488 0.542084
0.497702 0.528115
0.546228 0.513243
0.599484 0.497456
0.657933 0.480751
0.722081 0.463136
0.792483 0.444631
0.869749 0.425272
0.954548 0.40511
1.04762 0.384215
1.14976 0.362673
1.26186 0.340591
1.38489 0.318096
1.51991 0.295331
1.6681 0.272457
1.83074 0.249649
2.00923 0.227093
2.20513 0.204981
2.42013 0.183504
2.65609 0.162852
2.91505 0.143198
3.19927 0.124703
3.51119 0.1075
3.85353 0.0916947
4.22924 0.0773592
4.64159 0.0645302
5.09414 0.0532077
5.59081 0.0433569
6.13591 0.0349104
6.73415 0.0277742
7.39072 0.0218332
8.11131 0.0169587
8.90215 0.0130155
9.7701 0.00986926
10.7227 0.00739155
11.7681 0.0054648
12.9155 0.00398483
14.1747 0.00286203
15.5568 0.00202118
17.0735 0.00140039
18.7382 0.000949439
20.5651 0.000627985
22.5702 0.000403847
24.7708 0.000251557
27.1859 0.000151149
29.8365 8.72067e-05
32.7455 4.80738e-05
35.9381 2.51824e-05
39.4421 1.24596e-05
43.2876 5.78304e-06
47.5081 2.49854e-06
52.1401 9.96084e-07
57.2237 3.63241e-07
62.8029 1.19177e-07
68.9261 3.33462e-08
75.6463 6.32162e-09
83.0218 4.09563e-09
91.1163 5.79308e-09
100 6.07809e-09
