0.01 0.687836
0.010975 0.687395
0.012045 0.686911
0.0132194 0.686381
0.0145083 0.6858
0.0159228 0.685163
0.0174753 0.684464
0.0191791 0.683698
0.021049 0.682859
0.0231013 0.681939
0.0253536 0.680931
0.0278256 0.679827
0.0305386 0.678618
0.033516 0.677293
0.0367838 0.675843
0.0403702 0.674255
0.0443062 0.672518
0.048626 0.670617
0.053367 0.668537
0.0585702 0.666264
0.0642807 0.663778
0.070548 0.661063
0.0774264 0.658098
0.0849753 0.654861
0.0932603 0.651329
0.102353 0.647478
0.112332 0.643281
0.123285 0.638712
0.135305 0.633739
0.148497 0.628332
0.162975 0.622459
0.178865 0.616085
0.196304 0.609176
0.215443 0.601695
0.236449 0.593605
0.259502 0.58487
0.284804 0.575453
0.312572 0.565317
0.343047 0.554427
0.376494 0.542752
0.413201 0.530263
0.453488 0.516934
0.497702 0.502747
0.546228 0.487689
0.599484 0.471758
0.657933 0.454958
0.722081 0.437309
0.792483 0.41884
0.869749 0.399598
0.954548 0.379643
1.04762 0.359054
1.14976 0.337927
1.26186 0.316374
1.38489 0.294525
1.51991 0.272527
1.6681 0.250538
1.83074 0.22873
2.00923 0.207278
2.20513 0.186363
2.42013 0.166162
2.65609 0.146843
2.91505 0.128562
3.19927 0.111454
3.51119 0.0956294
3.85353 0.0811716
4.22924 0.0681316
4.64159 0.0565272
5.09414 0.0463437
5.59081 0.0375349
6.13591 0.030027
6.73415 0.0237235
7.39072 0.0185106
8.11131 0.014264
8.90215 0.0108557
9.7701 0.00815924
10.7227 0.00605553
11.7681 0.00443608
12.9155 0.00320548
14.1747 0.00228222
15.5568 0.00159849
17.0735 0.00109913
18.7382 0.00074004
20.5651 0.000486444
22.5702 0.000311113
24.7708 0.000192879
27.1859 0.000115434
29.8365 6.63858e-05
32.7455 3.65022e-05
35.9381 1.90835e-05
39.4421 9.42883e-06
43.2876 4.37357e-06
47.5081 1.89086e-06
52.1401 7.56e-07
57.2237 2.77161e-07
62.8029 9.23199e-08
68.9261 2.76622e-08
75.6463 7.37605e-09
83.0218 1.72991e-09
91.1163 3.52333e-10
100 6.14579e-11
